Athlete,Year,Gold Medals,Silver Medals,Bronze Medals
Yuriy Cheban,2012,1,0,0
Maialen Chourraut,2012,0,0,1
Jacob Clear,2012,1,0,0
Saúl Craviotto,2012,0,1,0
Mark de Jonge,2012,0,0,1
Rudolf Dombi,2012,1,0,0
Josef Dostál,2012,0,0,1
Aleksandr Dyachenko,2012,1,0,0
Tony Estanguet,2012,1,0,0
Krisztina Fazekas Zur,2012,1,0,0
Emilie Fer,2012,1,0,0
David Florence,2012,0,1,0
Jess Fox,2012,0,1,0
Bridgitte Hartley,2012,0,0,1
Daniel Havel,2012,0,0,1
Liam Heath,2012,0,0,1
Pavol Hochschorner,2012,0,0,1
Peter Hochschorner,2012,0,0,1
Max Hoff,2012,0,0,1
Martin Hollstein,2012,0,0,1
Richard Hounslow,2012,0,1,0
Vavrinec Hradílek,2012,0,1,0
Andreas Ihle,2012,0,0,1
Zoltán Kammerer,2012,0,1,0
Olga Khudenko,2012,0,0,1
Roland Kökény,2012,1,0,0
Aleksey Korovashkov,2012,0,0,1
Peter Kretschmer,2012,1,0,0
Tamás Kulifai,2012,0,1,0
Kurt Kuschela,2012,1,0,0
Eirik Verås Larsen,2012,1,0,0
Carolin Leonhardt,2012,0,1,0
Vadim Makhnyov,2012,0,1,0
Michal Martikán,2012,0,0,1
Ed McKeever,2012,1,0,0
Beata Mikolajczyk,2012,0,0,1
Daniele Molmenti,2012,1,0,0
Karolina Naja,2012,0,0,1
Mark Oldershaw,2012,0,0,1
Dániel Pauman,2012,0,1,0
Ilya Pervukhin,2012,0,0,1
Roman Petrushenko,2012,0,1,0
Fernando Pimenta,2012,0,1,0
Marina Poltoran,2012,0,0,1
Irina Pomelova,2012,0,0,1
Nadezhda Popok,2012,0,0,1
Yury Postrigay,2012,1,0,0
Jon Schofield,2012,0,0,1
Ivan Shtyl,2012,0,0,1
Emanuel Silva,2012,0,1,0
Dave Smith,2012,1,0,0
Tate Smith,2012,1,0,0
Jan Šterba,2012,0,0,1
Murray Stewart,2012,1,0,0
Etienne Stott,2012,1,0,0
Jevgenijus Šuklinas,2012,0,1,0
Gabriella Szabó,2012,1,0,0
Sideris Tasiadis,2012,0,1,0
Dávid Tóth,2012,0,1,0
Lukáš Trefil,2012,0,0,1
Adam Van Koeverden,2012,0,1,0
Katrin Wagner-Augustin,2012,0,1,0
Aleksey Abalmasov,2008,1,0,0
Lutz Altepost,2008,0,0,1
Rob Bell,2008,0,0,1
Aleksandr Bogdanovich,2008,1,0,0
Andrey Bogdanovich,2008,1,0,0
Benjamin Boukpeti,2008,0,0,1
Norman Bröckl,2008,0,0,1
Yuriy Cheban,2008,0,0,1
Saúl Craviotto,2008,1,0,0
Hannah Davis,2008,0,0,1
Marie Delattre,2008,0,0,1
Torsten Eckbrett,2008,0,0,1
Andrea Facchin,2008,0,0,1
Fanny Fischer,2008,1,0,0
David Florence,2008,0,1,0
Lyndsie Fogarty,2008,0,0,1
Björn Goldschmidt,2008,0,0,1
Alexander Grimm,2008,1,0,0
Thomas Hall,2008,0,0,1
Pavol Hochschorner,2008,1,0,0
Peter Hochschorner,2008,1,0,0
Martin Hollstein,2008,1,0,0
Josefa Idem-Guerrini,2008,0,1,0
Andreas Ihle,2008,1,0,0
Elena Kaliská,2008,1,0,0
Tamás Kiss,2008,0,0,1
Kim Knudsen,2008,0,1,0
Aleksandr Kostoglod,2008,0,1,0
Danuta Kozák,2008,0,1,0
György Kozmann,2008,0,0,1
Mikhail Kuznetsov,2008,0,0,1
Dmitry Larionov,2008,0,0,1
Eirik Verås Larsen,2008,0,1,0
Jacqui Lawrence,2008,0,1,0
Fabien Lefèvre,2008,0,1,0
Artur Litvinchuk,2008,1,0,0
Michal Martikán,2008,1,0,0
Chantal Meek,2008,0,0,1
Meng Guanliang,2008,1,0,0
Beata Mikolajczyk,2008,0,1,0
Violetta Oblinger-Peters,2008,0,0,1
Lisa Oldenhof,2008,0,0,1
Maksim Opalev,2008,1,0,0
Inna Osypenko-Radomska,2008,1,0,0
Aneta Pastuszka-Konieczna,2008,0,1,0
Carlos Pérez,2008,1,0,0
René Poulsen,2008,0,1,0
Ronald Rauhe,2008,0,1,0
Nicole Reinhardt,2008,1,0,0
Michal Riszdorfer,2008,0,1,0
Richard Riszdorfer,2008,0,1,0
Antonio Scaduto,2008,0,0,1
Ondrej Štepánek,2008,0,1,0
Gabriella Szabó,2008,0,1,0
Juraj Tarr,2008,0,1,0
Sergey Ulegin,2008,0,1,0
Attila Vajda,2008,1,0,0
Adam Van Koeverden,2008,0,1,0
Anne-Laure Viard,2008,0,0,1
Erik Vlcek,2008,0,1,0
Jaroslav Volf,2008,0,1,0
Conny Wassmuth,2008,1,0,0
Tim Wieskötter,2008,0,1,0
Yang Wenjun,2008,1,0,0
Juraj Baca,2004,0,0,1
Björn Bach,2004,0,1,0
Hanna Balabanova,2004,0,0,1
Ledys Balceiro,2004,0,1,0
Marcus Becker,2004,0,1,0
Beniamino Bonomi,2004,0,1,0
Kinga Bóta,2004,0,1,0
Caroline Brunet,2004,0,0,1
Olena Cherevatova,2004,0,0,1
Tony Estanguet,2004,1,0,0
Nils Olav Fjeldheim,2004,0,0,1
Ben Fouhy,2004,0,1,0
Rebecca Giddens,2004,0,1,0
Christian Gille,2004,1,0,0
Stefan Henze,2004,0,1,0
Pavol Hochschorner,2004,1,0,0
Peter Hochschorner,2004,1,0,0
Gábor Horváth,2004,1,0,0
Josefa Idem-Guerrini,2004,0,1,0
Andreas Ihle,2004,0,1,0
Elena Kaliská,2004,1,0,0
Zoltán Kammerer,2004,1,0,0
György Kolonics,2004,0,0,1
György Kozmann,2004,0,0,1
Fabien Lefèvre,2004,0,0,1
Vadim Makhnyov,2004,0,0,1
Michal Martikán,2004,0,1,0
Meng Guanliang,2004,1,0,0
Henrik Nilsson,2004,1,0,0
Maike Nollen,2004,1,0,0
Maksim Opalev,2004,0,0,1
Markus Oscarsson,2004,1,0,0
Inna Osypenko-Radomska,2004,0,0,1
Aneta Pastuszka-Konieczna,2004,0,0,1
Benoît Peschier,2004,1,0,0
Roman Petrushenko,2004,0,0,1
Stefan Pfannmöller,2004,0,0,1
Ronald Rauhe,2004,1,0,0
Helen Reeves,2004,0,0,1
Michal Riszdorfer,2004,0,0,1
Richard Riszdorfer,2004,0,0,1
Clint Robinson,2004,0,1,0
Ibrahim Rojas,2004,0,1,0
Antonio Rossi,2004,0,1,0
Beata Sokolowska-Kulesza,2004,0,0,1
Ondrej Štepánek,2004,0,0,1
Botond Storcz,2004,1,0,0
Szilvia Szabó,2004,0,1,0
Tetiana Teklian-Semykina,2004,0,0,1
Stefan Ulm,2004,0,1,0
Attila Vajda,2004,0,0,1
Ákos Vereckei,2004,1,0,0
Erzsébet Viski,2004,0,1,0
Erik Vlcek,2004,0,0,1
Jaroslav Volf,2004,0,0,1
Katrin Wagner-Augustin,2004,1,0,0
Campbell Walsh,2004,0,1,0
Tim Wieskötter,2004,1,0,0
Tomasz Wylenzek,2004,1,0,0
Ian Wynne,2004,0,0,1
Yang Wenjun,2004,1,0,0
Mark Zabel,2004,0,1,0
Björn Bach,2000,0,1,0
Ledys Balceiro,2000,0,1,0
Pawel Baraszkiewicz,2000,0,1,0
Anne-Lise Bardet,2000,0,0,1
Krisztián Bártfai,2000,0,0,1
Dariusz Bialkowski,2000,0,0,1
Beniamino Bonomi,2000,1,0,0
Katrin Borchert,2000,0,0,1
Tim Brabants,2000,0,0,1
Caroline Brunet,2000,0,1,0
Danny Collins,2000,0,1,0
Tony Estanguet,2000,1,0,0
Pierpaolo Ferrazzi,2000,0,0,1
Steve Giles,2000,0,0,1
Brigitte Guibal,2000,0,1,0
Štepánka Hilgertová,2000,1,0,0
Pavol Hochschorner,2000,1,0,0
Peter Hochschorner,2000,1,0,0
Gábor Horváth,2000,1,0,0
Josefa Idem-Guerrini,2000,1,0,0
Raluca Ionita,2000,0,0,1
Daniel Jedraszko,2000,0,1,0
Marek Jiras,2000,0,0,1
Rita Kobán,2000,0,1,0
Lars Kober,2000,0,0,1
Michael Kolganov,2000,0,0,1
György Kolonics,2000,1,0,0
Grzegorz Kotowicz,2000,0,0,1
Krzysztof Kolomanski,2000,0,1,0
Mariana Limbau,2000,0,0,1
Tomáš Máder,2000,0,0,1
Michal Martikán,2000,0,1,0
Juraj Mincík,2000,0,0,1
Manuela Mucke,2000,1,0,0
Henrik Nilsson,2000,0,1,0
Ferenc Novák,2000,1,0,0
Maksim Opalev,2000,0,1,0
Markus Oscarsson,2000,0,1,0
Aneta Pastuszka-Konieczna,2000,0,0,1
Leobaldo Pereira,2000,0,1,0
Imre Pulai,2000,1,0,0
Elena Radu,2000,0,0,1
Paul Ratcliffe,2000,0,1,0
Ronald Rauhe,2000,0,0,1
Ibrahim Rojas,2000,0,1,0
Antonio Rossi,2000,1,0,0
Jan Schäfer,2000,0,1,0
Thomas Schmidt,2000,1,0,0
Anett Schuck,2000,1,0,0
Adam Seroczynski,2000,0,0,1
Beata Sokolowska-Kulesza,2000,0,0,1
Michal Staniszewski,2000,0,1,0
Sanda Toma,2000,0,0,1
Andrew Trim,2000,0,1,0
Stefan Ulm,2000,0,1,0
Stefan Uteß,2000,0,0,1
Krisztián Veréb,2000,0,0,1
Ákos Vereckei,2000,1,0,0
Erzsébet Viski,2000,0,1,0
Tim Wieskötter,2000,0,0,1
Marek Witkowski,2000,0,0,1
Mark Zabel,2000,0,1,0
Brett Anderson,2008,0,0,1
Jake Arrieta,2008,0,0,1
Brian Barden,2008,0,0,1
Alexei Bell,2008,0,1,0
Bong Jung-Keun,2008,1,0,0
Matt Brown,2008,0,0,1
Trevor Cahill,2008,0,0,1
Frederich Cepeda,2008,0,1,0
Jeremy Cummings,2008,0,0,1
Alfredo Despaigne,2008,0,1,0
Jason Donald,2008,0,0,1
Brian Duensing,2008,0,0,1
Giorvis Duvergel,2008,0,1,0
Michel Enríquez,2008,0,1,0
Dexter Fowler,2008,0,0,1
John Gall,2008,0,0,1
Gang Min-Ho,2008,1,0,0
Go Yeong-Min,2008,1,0,0
Norberto González,2008,0,1,0
Yulieski Gourriel,2008,0,1,0
Gwon Hyeok,2008,1,0,0
Han Gi-Ju,2008,1,0,0
Mike Hessman,2008,0,0,1
Jang Won-Sam,2008,1,0,0
Jeong Dae-Hyeon,2008,1,0,0
Jeong Geun-U,2008,1,0,0
Kevin Jepsen,2008,0,0,1
Jin Gab-Yong,2008,1,0,0
Kim Dong-Ju,2008,1,0,0
Kim Gwang-Hyeon,2008,1,0,0
Kim Hyeon-Su,2008,1,0,0
Kim Min-Jae,2008,1,0,0
Brandon Knight,2008,0,0,1
Mike Koplove,2008,0,0,1
Miguel La Hera,2008,0,1,0
Matt LaPorta,2008,0,0,1
Pedro Luis Lazo,2008,0,1,0
Lee Dae-Ho,2008,1,0,0
Lee Jin-Yeong,2008,1,0,0
Lee Jong-Uk,2008,1,0,0
Lee Seung-Yeop,2008,1,0,0
Lee Taek-Geun,2008,1,0,0
Lee Yong-Gyu,2008,1,0,0
Lou Marson,2008,0,0,1
Jonder Martínez,2008,0,1,0
Alexander Mayeta,2008,0,1,0
Rolando Meriño,2008,0,1,0
Luis Miguel Navas,2008,0,1,0
Blaine Neal,2008,0,0,1
Jayson Nix,2008,0,0,1
O Seung-Hwan,2008,1,0,0
Vicyohandri Odelín,2008,0,1,0
Héctor Olivera Jr.,2008,0,1,0
Adiel Palma,2008,0,1,0
Eduardo Paret,2008,0,1,0
Park Jin-Man,2008,1,0,0
Yadier Pedroso,2008,0,1,0
Ariel Pestano,2008,0,1,0
Luis Miguel Rodríguez,2008,0,1,0
Ryu Hyeon-Jin,2008,1,0,0
Elier Sánchez,2008,0,1,0
Eriel Sánchez,2008,0,1,0
Nate Schierholtz,2008,0,0,1
Song Seung-Jun,2008,1,0,0
Jeff Stevens,2008,0,0,1
Stephen Strasburg,2008,0,0,1
Taylor Teagarden,2008,0,0,1
Terry Tiffee,2008,0,0,1
Yoandri Urgellés,2008,0,1,0
Norge Luis Vera,2008,0,1,0
Casey Weathers,2008,0,0,1
Yoon Suk-Min,2008,1,0,0
Ryoji Aikawa,2004,0,0,1
Craig Anderson,2004,0,1,0
Yuya Ando,2004,0,0,1
Danny Betancourt,2004,1,0,0
Luis Borroto,2004,1,0,0
Tom Brice,2004,0,1,0
Adrian Burnside,2004,0,1,0
Frederich Cepeda,2004,1,0,0
Yorelvis Charles,2004,1,0,0
Michel Enríquez,2004,1,0,0
Gavin Fingleson,2004,0,1,0
Atsushi Fujimoto,2004,0,0,1
Kosuke Fukudome,2004,0,0,1
Norberto González,2004,1,0,0
Paul Gonzalez,2004,0,1,0
Yulieski Gourriel,2004,1,0,0
Hirotoshi Ishii,2004,0,0,1
Hisashi Iwakuma,2004,0,0,1
Hitoki Iwase,2004,0,0,1
Kenji Johjima,2004,0,0,1
Makoto Kaneko,2004,0,0,1
Nick Kimpton,2004,0,1,0
Takuya Kimura,2004,0,0,1
Brendan Kingman,2004,0,1,0
Masahide Kobayashi,2004,0,0,1
Hiroki Kuroda,2004,0,0,1
Pedro Luis Lazo,2004,1,0,0
Craig Lewis,2004,0,1,0
Graeme Lloyd,2004,0,1,0
Roger Machado,2004,1,0,0
Jonder Martínez,2004,1,0,0
Daisuke Matsuzaka,2004,0,0,1
Danny Miranda,2004,1,0,0
Daisuke Miura,2004,0,0,1
Shinya Miyamoto,2004,0,0,1
Frank Montieth,2004,1,0,0
Arihito Muramatsu,2004,0,0,1
Norihiro Nakamura,2004,0,0,1
Dave Nilsson,2004,0,1,0
Vicyohandri Odelín,2004,1,0,0
Trent Oeltjen,2004,0,1,0
Michihiro Ogasawara,2004,0,0,1
Wayne Ough,2004,0,1,0
Chris Oxspring,2004,0,1,0
Adiel Palma,2004,1,0,0
Eduardo Paret,2004,1,0,0
Ariel Pestano,2004,1,0,0
Alexei Ramírez,2004,1,0,0
Brett Roneberg,2004,0,1,0
Ryan Rowland Smith,2004,0,1,0
Eriel Sánchez,2004,1,0,0
Antonio Scull,2004,1,0,0
Naoyuki Shimizu,2004,0,0,1
John Stephens,2004,0,1,0
Phil Stockman,2004,0,1,0
Carlos Tabares,2004,1,0,0
Yoshinobu Takahashi,2004,0,0,1
Brett Tamburrino,2004,0,1,0
Yoshitomo Tani,2004,0,0,1
Richard Thompson,2004,0,1,0
Koji Uehara,2004,0,0,1
Yoandri Urgellés,2004,1,0,0
Osmani Urrutia,2004,1,0,0
Andrew Utting,2004,0,1,0
Rodney Van Buizen,2004,0,1,0
Manuel Vega,2004,1,0,0
Norge Luis Vera,2004,1,0,0
Kazuhiro Wada,2004,0,0,1
Tsuyoshi Wada,2004,0,0,1
Ben Wigmore,2004,0,1,0
Glenn Williams,2004,0,1,0
Jeff Williams,2004,0,1,0
Brent Abernathy,2000,1,0,0
Kurt Ainsworth,2000,1,0,0
Omar Ajete,2000,0,1,0
Yosvany Aragón,2000,0,1,0
Pat Borders,2000,1,0,0
Sean Burroughs,2000,1,0,0
Miguel Caldés,2000,0,1,0
Danel Castro,2000,0,1,0
José Contreras,2000,0,1,0
John Cotton,2000,1,0,0
Travis Dawkins,2000,1,0,0
Yobal Dueñas,2000,0,1,0
Adam Everett,2000,1,0,0
Ryan Franklin,2000,1,0,0
Chris George,2000,1,0,0
Yasser Gómez,2000,0,1,0
Gu Dae-Seong,2000,0,0,1
Shane Heams,2000,1,0,0
Hong Seong-Heun,2000,0,0,1
José Ibar,2000,0,1,0
Im Chang-Yong,2000,0,0,1
Im Seon-Dong,2000,0,0,1
Jang Seong-Ho,2000,0,0,1
Marcus Jensen,2000,1,0,0
Jeong Dae-Hyeon,2000,0,0,1
Jeong Min-Tae,2000,0,0,1
Jeong Su-Geun,2000,0,0,1
Jin Pil-Jung,2000,0,0,1
Kim Dong-Ju,2000,0,0,1
Kim Gi-Tae,2000,0,0,1
Kim Han-Su,2000,0,0,1
Kim Su-Gyeong,2000,0,0,1
Kim Tae-Gyun,2000,0,0,1
Orestes Kindelán,2000,0,1,0
Mike Kinkade,2000,1,0,0
Rick Krivda,2000,1,0,0
Pedro Luis Lazo,2000,0,1,0
Lee Byeong-Gyu,2000,0,0,1
Lee Seung-Ho,2000,0,0,1
Lee Seung-Yeop,2000,0,0,1
Omar Linares,2000,0,1,0
Oscar Macias,2000,0,1,0
Juan Manrique,2000,0,1,0
Javier Méndez,2000,0,1,0
Rolando Meriño,2000,0,1,0
Germán Mesa,2000,0,1,0
Doug Mientkiewicz,2000,1,0,0
Mike Neill,2000,1,0,0
Roy Oswalt,2000,1,0,0
Antonio Pacheco,2000,0,1,0
Park Gyeong-Wan,2000,0,0,1
Park Jae-Hong,2000,0,0,1
Park Jin-Man,2000,0,0,1
Park Jong-Ho,2000,0,0,1
Park Seok-Jin,2000,0,0,1
Ariel Pestano,2000,0,1,0
Gabriel Pierre,2000,0,1,0
Jon Rauch,2000,1,0,0
Maels Rodríguez,2000,0,1,0
Anthony Sanders,2000,1,0,0
Antonio Scull,2000,0,1,0
Bobby Seay,2000,1,0,0
Ben Sheets,2000,1,0,0
Son Min-Han,2000,0,0,1
Song Jin-U,2000,0,0,1
Luis Ulacia,2000,0,1,0
Lazaro Valle,2000,0,1,0
Norge Luis Vera,2000,0,1,0
Brad Wilkerson,2000,1,0,0
Todd Williams,2000,1,0,0
Ernie Young,2000,1,0,0
Tim Young,2000,1,0,0
Nicola Adams,2012,1,0,0
Misha Aloyan,2012,0,0,1
Lázaro Álvarez,2012,0,0,1
Adriana Araújo,2012,0,0,1
Abbos Atayev,2012,0,0,1
David Ayrapetyan,2012,0,0,1
Paddy Barnes,2012,0,0,1
Denys Berinchyk,2012,0,1,0
Roberto Cammarelle,2012,0,1,0
Luke Campbell,2012,1,0,0
Mavzuna Choriyeva,2012,0,0,1
Michael Conlan,2012,0,0,1
Ivan Dychko,2012,0,0,1
Marlen Esparza,2012,0,0,1
Fred Evans,2012,0,1,0
Esquiva Florentino,2012,0,1,0
Yamaguchi Florentino,2012,0,0,1
Han Sun-Cheol,2012,0,1,0
Oleksandr Hvozdyk,2012,0,0,1
Roniel Iglesias,2012,1,0,0
Anthony Joshua,2012,1,0,0
M. C. Mary Kom,2012,0,0,1
Li Jinzi,2012,0,0,1
Vasyl Lomachenko,2012,1,0,0
Vincenzo Mangiacapre,2012,0,0,1
Yegor Mekhontsev,2012,1,0,0
Ryota Murata,2012,1,0,0
M?h?mm?dr?sul M?cidov,2012,0,0,1
Teymur M?mm?dov,2012,0,0,1
John Joe Nevin,2012,0,1,0
Adilbek Niyazymbetov,2012,0,1,0
Nyambayaryn Tögstsogt,2012,0,1,0
Sofya Ochigava,2012,0,1,0
Anthony Ogogo,2012,0,0,1
Evaldas Petrauskas,2012,0,0,1
Kaeo Pongprayoon,2012,0,1,0
Tervel Pulev,2012,0,0,1
Robeisy Ramírez,2012,1,0,0
Ren Cancan,2012,0,1,0
Clemente Russo,2012,0,1,0
Serik Sapiyev,2012,1,0,0
Taras Shelestiuk,2012,0,0,1
Claressa Shields,2012,1,0,0
Satoshi Shimizu,2012,0,0,1
Katie Taylor,2012,1,0,0
Yasnier Toledo,2012,0,0,1
Nadezhda Torlopova,2012,0,1,0
Uranchimegiin Mönkh-Erdene,2012,0,0,1
Oleksandr Usik,2012,1,0,0
Marina Volnova,2012,0,0,1
Andrey Zamkovoy,2012,0,0,1
Zou Shiming,2012,1,0,0
Osmay Acosta,2008,0,0,1
Georgiy Balakshin,2008,0,0,1
Carlos Banteux,2008,0,1,0
Paddy Barnes,2008,0,0,1
Manus Boonjumnong,2008,0,1,0
Roberto Cammarelle,2008,1,0,0
Rakhim Chakhkiyev,2008,1,0,0
Emilio Correa Jr.,2008,0,1,0
James DeGale,2008,1,0,0
Félix Díaz,2008,1,0,0
Khédafi Djelkhir,2008,0,1,0
Kenny Egan,2008,0,1,0
Enkhbatyn Badar-Uugan,2008,1,0,0
Vaeceslav Gojan,2008,0,0,1
Hanati Silamu,2008,0,0,1
Yampier Hernández,2008,0,0,1
V'iacheslav Hlazkov,2008,0,0,1
Roniel Iglesias,2008,0,0,1
Sahin Imranov,2008,0,0,1
Hrachik Javakhyan,2008,0,0,1
Tony Jeffries,2008,0,0,1
Somjit Jongjohor,2008,1,0,0
Bruno Julie,2008,0,0,1
Yakup Kiliç,2008,0,0,1
Kim Jeong-Ju,2008,0,0,1
Andry Laffita,2008,0,1,0
Yankiel León,2008,0,1,0
Vasyl Lomachenko,2008,1,0,0
Vincenzo Picardi,2008,0,0,1
David Price,2008,0,0,1
Pürevdorjin Serdamba,2008,0,1,0
Clemente Russo,2008,0,1,0
Bakhyt Sarsekbayev,2008,1,0,0
Yerkebulan Shynaliyev,2008,0,0,1
Vijender Singh,2008,0,0,1
Daouda Sow,2008,0,1,0
Darren Sutherland,2008,0,0,1
Aleksey Tishchenko,2008,1,0,0
Yordenis Ugás,2008,0,0,1
Alexis Vastine,2008,0,0,1
Deontay Wilder,2008,0,0,1
Zhang Xiaoping,2008,1,0,0
Zhang Zhilei,2008,0,1,0
Zou Shiming,2008,1,0,0
Mohamed Aly,2004,0,1,0
Lorenzo Aragon,2004,0,1,0
Magomed Aripgadzhiyev,2004,0,1,0
Bakhtiyar Artayev,2004,1,0,0
Fuad Aslanov,2004,0,0,1
Yan Barthelemí,2004,1,0,0
Manus Boonjumnong,2004,1,0,0
Roberto Cammarelle,2004,0,0,1
Andre Dirrell,2004,0,0,1
Mohamed El-Sayed,2004,0,0,1
Naser El-Shami,2004,0,0,1
Yuriorkis Gamboa,2004,1,0,0
Gaydarbek Gaydarbekov,2004,1,0,0
Boris Georgiev,2004,0,0,1
Ionut Gheorghe,2004,0,0,1
Gennady Golovkin,2004,0,1,0
Ahmed Ismail,2004,0,0,1
Jo Seok-Hwan,2004,0,0,1
Yudel Johnson,2004,0,1,0
Sergey Kazakov,2004,0,0,1
Amir Khan,2004,0,1,0
Utkirbek Khaydarov,2004,0,0,1
Murat Khrachov,2004,0,0,1
Kim Jeong-Ju,2004,0,0,1
Kim Song-Guk,2004,0,1,0
Mario Kindelán,2004,1,0,0
Michel López,2004,0,0,1
Agasi M?mm?dov,2004,0,0,1
Worapoj Petchkoom,2004,0,1,0
Aleksandr Povetkin,2004,1,0,0
Suriya Prasathinphimai,2004,0,0,1
Rustam Rahimov,2004,0,0,1
Guillermo Rigondeaux,2004,1,0,0
Oleg Saitov,2004,0,0,1
Odlanier Solís,2004,1,0,0
Bakhodirdzhon Sultanov,2004,0,0,1
Vitali Tajbert,2004,0,0,1
Jérôme Thomas,2004,0,1,0
Aleksey Tishchenko,2004,1,0,0
André Ward,2004,1,0,0
Atagün Yalçinkaya,2004,0,1,0
Serik Yeleuov,2004,0,0,1
Zou Shiming,2004,0,0,1
Viktor Zuyev,2004,0,1,0
Mukhammad Kadyr Abdullayev,2000,1,0,0
Mohamed Allalou,2000,0,0,1
Brahim Asloum,2000,1,0,0
Cristian Bejarano,2000,0,0,1
Vladimir Ch'ant'uria,2000,0,0,1
Serhiy Danylchenko,2000,0,0,1
Mukhtarkhan Dildabekov,2000,0,1,0
Serhiy Dotsenko,2000,0,1,0
Kamil Dzhamaludinov,2000,0,0,1
Zsolt Erdei,2000,0,0,1
Andriy Fedchuk,2000,0,0,1
Gaydarbek Gaydarbekov,2000,0,1,0
Vitalie Grusac,2000,0,0,1
Jorge Gutiérrez,2000,1,0,0
Audley Harrison,2000,1,0,0
Sultan-Akhmed Ibragimov,2000,0,1,0
Yermakhan Ibraimov,2000,1,0,0
Ricardo Juarez,2000,0,1,0
Kim Un-Chol,2000,0,0,1
Mario Kindelán,2000,1,0,0
Sebastian Köber,2000,0,0,1
Andriy Kotelnyk,2000,0,1,0
Rudi Kraj,2000,0,1,0
Aleksandr Lebzyak,2000,1,0,0
Rafael Lozano,2000,0,1,0
Diógenes Luña,2000,0,0,1
Raimkul Malakhbekov,2000,0,1,0
Aleksandr Maletin,2000,0,0,1
Sergey Mikhaylov,2000,0,0,1
Wijan Ponlid,2000,1,0,0
Guillermo Rigondeaux,2000,1,0,0
Maikro Romero,2000,0,0,1
Rustam Saidov,2000,0,0,1
Oleg Saitov,2000,1,0,0
Bekzat Sattarkhanov,2000,1,0,0
Félix Savón,2000,1,0,0
Dorel Simion,2000,0,0,1
Marian Simion,2000,0,1,0
Volodymyr Sydorenko,2000,0,0,1
Tahar Tamsamani,2000,0,0,1
Jermain Taylor,2000,0,0,1
Jérôme Thomas,2000,0,0,1
Pornchai Thongburan,2000,0,0,1
Paolo Vidoz,2000,0,0,1
Clarence Vinson,2000,0,0,1
Ricardo Williams Jr.,2000,0,1,0
Bolat Zhumadilov,2000,0,1,0
Vüqar Mursal ?l?kb?rov,2000,0,0,1
Richy Adjei,2010,0,1,0
David Bissett,2010,0,0,1
Lascelles Brown,2010,0,0,1
Shelley-Ann Brown,2010,0,1,0
Thomas Florschütz,2010,0,1,0
Steve Holcomb,2010,1,0,0
Kaillie Humphries,2010,1,0,0
Chris le Bihan,2010,0,0,1
Steve Mesler,2010,1,0,0
Elana Meyers,2010,0,0,1
Heather Moyse,2010,1,0,0
Justin Olsen,2010,1,0,0
Erin Pac,2010,0,0,1
Martin Putze,2010,0,1,0
Alexander Rödiger,2010,0,1,0
Lyndon Rush,2010,0,0,1
Curt Tomasevicz,2010,1,0,0
Helen Upperton,2010,0,1,0
Aleksey Voyevoda,2010,0,0,1
Aleksandr Zubkov,2010,0,0,1
Lascelles Brown,2006,0,1,0
Valerie Fleming,2006,0,1,0
Cédric Grand,2006,0,0,1
René Hoppe,2006,1,0,0
Jennifer Isacco,2006,0,0,1
Thomas Lamparter,2006,0,0,1
Pierre Lueders,2006,0,1,0
Sandra Prokoff-Kiriasis,2006,1,0,0
Martin Putze,2006,1,0,0
Shauna Rohbock,2006,0,1,0
Anja Schneiderheinze,2006,1,0,0
Aleksey Seliverstov,2006,0,1,0
Aleksey Voyevoda,2006,0,1,0
Gerda Weissensteiner,2006,0,0,1
Filipp Yegorov,2006,0,1,0
Aleksandr Zubkov,2006,0,1,0
Steve Anderhub,2002,0,1,0
Martin Annen,2002,0,0,1
Jill Bakken,2002,1,0,0
Carsten Embach,2002,1,0,0
Susi Erdmann,2002,0,0,1
Vonetta Flowers,2002,1,0,0
Todd Hays,2002,0,1,0
Beat Hefti,2002,0,0,1
Nicole Herschmann,2002,0,0,1
Garrett Hines,2002,0,1,0
Ulrike Holzner,2002,0,1,0
Randy Jones,2002,0,1,0
Mike Kohn,2002,0,0,1
Enrico Kühn,2002,1,0,0
Kevin Kuske,2002,1,0,0
André Lange,2002,1,0,0
Christoph Langen,2002,1,0,0
Sandra Prokoff-Kiriasis,2002,0,1,0
Christian Reich,2002,0,1,0
Bill Schuffenhauer,2002,0,1,0
Doug Sharp,2002,0,0,1
Brian Shimer,2002,0,0,1
Dan Steele,2002,0,0,1
Markus Zimmermann,2002,1,0,0
Sandrine Bailly,2010,0,1,0
Sylvie Becaert,2010,0,1,0
Tora Berger,2010,1,0,0
Anna Bogaly-Titovets,2010,1,0,0
Tarjei Bø,2010,1,0,0
Ivan Cherezov,2010,0,0,1
Maksim Chudov,2010,0,0,1
Darya Domracheva,2010,0,0,1
Simon Eder,2010,0,1,0
Jakov Fak,2010,0,0,1
Björn Ferry,2010,1,0,0
Martin Fourcade,2010,0,1,0
Martina Glagow-Beck,2010,0,0,1
Halvard Hanevold,2010,1,0,0
Andrea Henkel,2010,0,0,1
Pavol Hurajt,2010,0,0,1
Yelena Khrustalyova,2010,0,1,0
Dominik Landertinger,2010,0,1,0
Daniel Mesotitsch,2010,0,1,0
Sergey Novikov,2010,0,1,0
Olga Pylyova-Medvedtseva,2010,1,0,0
Anton Shipulin,2010,0,0,1
