Athlete,Year,Gold Medals,Silver Medals,Bronze Medals
Robert Bartko,2000,2,0,0
Jens Fiedler,2000,0,0,2
Jens Lehmann,2000,1,1,0
Gary Neiwand,2000,0,1,1
Jason Queally,2000,1,1,0
Jan Ullrich,2000,1,1,0
Lukáš Bauer,2010,0,0,2
Anna Haag,2010,0,2,0
Marcus Hellner,2010,2,0,0
Charlotte Kalla,2010,1,1,0
Claudia Künzel-Nystad,2010,1,1,0
Aino-Kaisa Saarinen,2010,0,0,2
Evi Sachenbacher-Stehle,2010,1,1,0
Axel Teichmann,2010,0,2,0
Tobias Angerer,2006,0,1,1
Yuliya Chepalova,2006,1,1,0
Yevgeny Dementyev,2006,1,1,0
Giorgio Di Centa,2006,2,0,0
Thobias Fredriksson,2006,1,0,1
Claudia Künzel-Nystad,2006,0,2,0
Björn Lind,2006,2,0,0
Yevgeniya Medvedeva,2006,1,0,1
Katerina Neumannová,2006,1,1,0
Pietro Piller Cottrer,2006,1,0,1
Kristina Šmigun-Vähi,2006,2,0,0
Thomas Alsgaard,2002,2,0,0
Viola Bauer,2002,1,0,1
Anita Moen-Guidon,2002,0,1,1
Katerina Neumannová,2002,0,2,0
Evi Sachenbacher-Stehle,2002,1,1,0
Kristen Skjeldal,2002,1,0,1
Andrus Veerpalu,2002,1,1,0
Cristian Zorzi,2002,0,1,1
Tina Dietze,2012,1,1,0
Natasa Douchev-Janics,2012,0,1,1
Katalin Kovács,2012,1,1,0
Danuta Kozák,2012,2,0,0
Inna Osypenko-Radomska,2012,0,2,0
Franziska Weber,2012,1,1,0
Tim Brabants,2008,1,0,1
David Cal,2008,0,2,0
Natasa Douchev-Janics,2008,1,1,0
Christian Gille,2008,0,1,1
Katalin Kovács,2008,1,1,0
Vadim Makhnyov,2008,1,0,1
Roman Petrushenko,2008,1,0,1
Katrin Wagner-Augustin,2008,1,0,1
Ken Wallace,2008,1,0,1
Tomasz Wylenzek,2008,0,1,1
Nathan Baggaley,2004,0,2,0
David Cal,2004,1,1,0
Andreas Dittmer,2004,1,1,0
Natasa Douchev-Janics,2004,2,0,0
Birgit Fischer-Schmidt,2004,1,1,0
Aleksandr Kostoglod,2004,0,1,1
Katalin Kovács,2004,1,1,0
Aleksandr Kovalyov,2004,0,1,1
Eirik Verås Larsen,2004,1,0,1
Carolin Leonhardt,2004,1,1,0
Adam Van Koeverden,2004,1,0,1
Andreas Dittmer,2000,1,0,1
Birgit Fischer-Schmidt,2000,2,0,0
Knut Holmann,2000,2,0,0
Zoltán Kammerer,2000,2,0,0
Katalin Kovács,2000,0,2,0
Petar Merkov,2000,0,2,0
Florin Popescu,2000,1,0,1
Mitica Pricop,2000,1,0,1
Botond Storcz,2000,2,0,0
Szilvia Szabó,2000,0,2,0
Katrin Wagner-Augustin,2000,2,0,0
Kevin Kuske,2010,1,1,0
André Lange,2010,1,1,0
Martin Annen,2006,0,0,2
Beat Hefti,2006,0,0,2
Kevin Kuske,2006,2,0,0
André Lange,2006,2,0,0
Ole Einar Bjørndalen,2010,1,1,0
Marie Laure Brunet,2010,0,1,1
Marie Dorin,2010,0,1,1
Simone Hauswald,2010,0,0,2
